pmcid,sentence,ner
PMC6937151,The suggested role of mechanical pressure on EECs by adjacent enterocytes that have accumulated lipid droplets is not supported by experimental data.,"[(62, 72, 'enterocyte', 'CL')]"
PMC6937151,"(m) If cell volume changes are detected, we could use glibenclamide (an inhibitor for SUR1-TRPM4 which is shown to mediate astrocyte cellular volume change during stroke, PMID: 24380477) to test whether the phenotype can be reversed.","[(123, 132, 'astrocyte', 'CL')]"
PMC6937151,"As an aside, we also considered that the changes in EEC morphology may be caused indirectly by the accumulation of numerous large cytosolic lipid droplets in absorptive enterocytes that surround each EEC within the epithelium (see PMID 27655916).","[(169, 179, 'enterocyte', 'CL')]"
PMC6937151,"However, our previous study showed that animals treated the same way (given the same HF meal without prior feeding) accumulate a relatively modest volume of enterocyte lipid droplets, compared to fish given the same HF meal after having been provided a normal diet for several days before (in PMID 22980325, compare “starved” with “C-fed” in Figure 2).","[(157, 167, 'enterocyte', 'CL')]"
PMC6937151,"This suggests that enterocytes in the present study are not accumulating maximal enterocyte lipid droplet volume, so we think it’s unlikely that limited accumulation of enterocyte lipid droplets would be sufficient to physically impose our observed changes on EEC morphology after HF feeding.","[(19, 29, 'enterocyte', 'CL')]"
PMC6937151,"In the long term, we are interested in further testing this idea, but we unfortunately don’t have clean ways of suppressing enterocyte lipid droplet accumulation in zebrafish (see our responses to reviewer 3’s concern #4 below), which is why we didn’t attempt that in the paper.","[(124, 134, 'enterocyte', 'CL')]"
PMC6937151,"We agree that it would be helpful to directly test the role of lipid droplet accumulation in enterocytes on EEC silencing, but we are unaware of a way to block lipid droplet formation that doesn’t deleteriously affect other aspects of lipid absorption.","[(93, 103, 'enterocyte', 'CL')]"
PMC6833180,RRx-001 is a minimally toxic macrophage repolarizing agent in Phase 3 clinical trials that is associated with a reduced side effect profile from these chemotherapy agents.,"[(29, 39, 'macrophage', 'CL')]"
PMC6833180,Recent studies have demonstrated the inhibitory impact of M2 macrophages on the activity of tyrosine kinases suggesting that the repolarization of macrophages by RRx-001 may enhance the activity of TKIs.,"[(61, 71, 'macrophage', 'CL')]"
PMC6833180,"The systemic use of immune checkpoint inhibitors, such as anti-CTLA-4 (anti cytotoxic T-lymphocyte-associated protein 4) and anti-PD-1 (anti programmed cell-death protein 1), has shown promise in the treatment of various tumor types but only a minority of patients respond[2].","[(88, 98, 'lymphocyte', 'CL')]"
PMC6833180,Pegzilarginase monotherapy increased MHC expression on antigen presenting cells (APCs) and the frequency of intratumoral CD8+ T cells relative to controls (p<0.01).,"[(126, 132, 'T cell', 'CL')]"
PMC6833180,Combination therapy evinced the greatest number of activated intratumoral CD8+ T cells and elevated systemic levels of IFN-gamma.,"[(79, 85, 'T cell', 'CL')]"
PMC6833180,Combination pegzilarginase/immunotherapy induces robust anti-tumor immunity characterized by increased intratumoral CD8+ T cells and M1-polarized macrophages.,"[(121, 127, 'T cell', 'CL')]"
PMC6833180,These data support the clinical evaluation of T cell agonists and/or checkpoint inhibitors in conjunction with pegzilarginase for the treatment of patients with cancer.,"[(46, 52, 'T cell', 'CL')]"
PMC6833180,The presence of tumor infiltrating lymphocytes in breast cancer (BC) is associated with improved survival.,"[(35, 45, 'lymphocyte', 'CL')]"
PMC6833180,"COX2 inhibition along with RT induced proliferation of cytotoxic CD8, dendritic cells and pro-inflammatory macrophages while Treg activity was reduced.","[(107, 117, 'macrophage', 'CL')]"
PMC6833180,"Furthermore, CODEX showed correlation between decreased macrophage population and increased CD8 infiltration suggesting role of macrophages in inhibiting CD8 infiltration.","[(56, 66, 'macrophage', 'CL')]"
PMC6833180,"Mechanistically, radiation-induced viral mimicry is critical for priming of anti-tumor CD8+ T cells, and is triggered by cytosolic DNA that stimulates cancer-cell intrinsic interferon type I release [2,3].","[(92, 98, 'T cell', 'CL')]"
PMC6833180,"The immunoprofiling of the tumors after treatment showed that triple combination therapy reduced the population of regulatory T cells and M2 macrophages, resulting in favorable conditions for immune-mediated cancer cell killing.","[(115, 132, 'regulatory T cell', 'CL'), (141, 151, 'macrophage', 'CL')]"
PMC6833180,"To assess the effect of targeting STAT3 in the identified tolerogenic myeloid cell populations, we used TLR9-targeted STAT3 antisense oligonucleotides (CpG-STAT3ASO) in combination with local tumor irradiation.","[(70, 82, 'myeloid cell', 'CL')]"
PMC6833180,"Using the multicolor immunofluorescent analysis, we found a significant increase in the percentage of CD163+ M2 macrophages with activated STAT3 and a concurrent reduction in a number of CD8+ T-cells in tumors post-treatment.","[(112, 122, 'macrophage', 'CL')]"
PMC6833180,"Similarly, the Nanostring analysis of frozen tumor-containing lymph nodes biopsies detected significant increase in the percentage M2 macrophages (CD163, CD206), with the upregulation of Th2 (IL4, IL5) and immunosuppressive regulators (ARG1, IL10, LIF, TGFB1).","[(134, 144, 'macrophage', 'CL')]"
PMC6833180,These results suggested that STAT3 activation in tumor-associated myeloid cells can dampen immunogenic effects of CMT.,"[(66, 78, 'myeloid cell', 'CL')]"
PMC6833180,"To test this hypothesis, we combined single-dose localized RT with intratumoral injections of myeloid cell-specific STAT3 antisense oligonucleotide (CpG-STAT3ASO) against three mouse models of HPV-positive (mEERL) or HPV-negative (MOC2 and mEERL/sh) head and neck cancers.","[(94, 106, 'myeloid cell', 'CL')]"
PMC6833180,"Regardless of the HPV status, effects of RT/CpG-STAT3ASO therapy were associated with reduced numbers of tumor-associated M2 macrophages and increased percentage of CD8+ T-cells and/or CD8:Treg ratio in MOC2 and mEERL tumors.","[(125, 135, 'macrophage', 'CL')]"
PMC6833180,"In addition, we observed recruitment of M1 macrophages with enhanced expression of MHC class II and costimulatory molecules in tumor-draining lymph nodes after RT/CpG-STAT3ASO treatments.","[(43, 53, 'macrophage', 'CL')]"
PMC6833180,Our clinical observations and animal study results suggest that myeloid cell-targeted inhibition of STAT3 together with CpG-mediated immunostimulation dramatically augment the outcome of radiation therapy against HPV-positive and HPV-negative HNSCC.,"[(64, 76, 'myeloid cell', 'CL')]"
PMC6833180,Combination treatment with radiation and anti-CTLA4 antibody resulted in decreased numbers of infiltrating regulatory T cells as well as B cells in the tumors.,"[(107, 124, 'regulatory T cell', 'CL')]"
PMC6833180,"While numbers of CD8+ T cells were not increased in tumors that received combination treatment, the cells displayed a more activated phenotype.","[(22, 28, 'T cell', 'CL')]"
PMC6833180,"We hypothesized that combination treatment decreased numbers of regulatory cell types and led to increased cytotoxic activity of CD8+ T cells, Natural Killer (NK) cells, and Natural Killer T (NKT) cells in the tumor microenvironment.","[(134, 140, 'T cell', 'CL')]"
PMC6833180,"Consistent with the increased effector memory phenotype, the percentage of CD8+ T cells secreting Granzyme B was increased 2-fold with combination treatment compared to radiation alone.","[(80, 86, 'T cell', 'CL')]"
PMC6833180,Reduction in numbers of regulatory T cells and B cells resulted in increased percentages CD8+ T cells and NKT cells with a phenotype consistent with improved anti-tumor activity.,"[(24, 41, 'regulatory T cell', 'CL'), (35, 41, 'T cell', 'CL'), (47, 53, 'B cell', 'CL')]"
PMC6833180,"Immune infiltrates were quantified by FC in these samples, cytokine levels via multiplex ELISA, and T cell clonal analysis via T cell receptor (TCR) sequencing.","[(100, 106, 'T cell', 'CL')]"
PMC6833180,"Comparison of RT dose effects demonstrated increased ratios of CD8+ T cells to CD4+FoxP3+ regulatory T cells in the TRT group, compared to the EBRT groups at Day 1, as well as increased myeloid cell (CD11b+) and NK cell infiltrate with TRT.","[(186, 198, 'myeloid cell', 'CL'), (68, 74, 'T cell', 'CL'), (90, 107, 'regulatory T cell', 'CL')]"
PMC6833180,"Following combined treatment with TRT + C4, tumors showed significantly greater CD8+ T cells and γδ T cells, compared to single agent or untreated control groups.","[(85, 91, 'T cell', 'CL')]"
PMC6833180,Prostate cancer responds poorly to checkpoint blockade due to its immunologically “cold” microenvironment with low CD8+ T cell infiltration along with relatively high numbers of myeloid-derived suppressor cells (MDSCs) and regulatory CD4+ T cells (Tregs) [1–3].,"[(120, 126, 'T cell', 'CL')]"
PMC6833180,"Our lab has studied DNA vaccines as a simple method of increasing antigen-specific CD8+ T cell infiltration [4,5].","[(88, 94, 'T cell', 'CL')]"
PMC6833180,"To further increase CD8+ T cell infiltration and deplete suppressive populations, external beam radiation (EBRT) can be used [6].","[(25, 31, 'T cell', 'CL')]"
PMC6833180,High expression of exhaustion markers on CD8+ T cells suggests that combination of MTRT and vaccination with checkpoint blockade may further improve anti-tumor response.,"[(46, 52, 'T cell', 'CL')]"
PMC6833180,High tissue density of FOXP3+ T cells is associated with clinical outcome in prostate cancer.,"[(30, 36, 'T cell', 'CL')]"
PMC6833180,In the 4T1 mouse model of triple negative breast cancer we found higher intratumoral CD8+/CD4+ ratio and CD8+ T cell clonality in tumors of mice treated with RT+CTLA-4 blockade compared to each treatment alone [3].,"[(110, 116, 'T cell', 'CL')]"
PMC6833180,The purpose of this study was to identify the intratumoral T cell landscape associated with response to RT+CTLA-4 blockade [4].,"[(59, 65, 'T cell', 'CL')]"
PMC6833180,"TCR-seq was performed using the iRepertoire platform, and 5’ gene expression, VDJ, and feature barcoding SC-seq was performed on sorted CD3+CD4+ and CD3+CD8+ T cells using the 10X Genomics chromium system.","[(158, 164, 'T cell', 'CL')]"
PMC6833180,"Compared to untreated tumors, tumors treated with RT+anti-CTLA-4 were enriched with an oligoclonal population of Ifng+Cd69+Tnf+Cd8+ and Ifng+Cd4+ T cells, and had decreased proportions of both Foxp3+Ox40+Cd25+Cd4+ (Tregs) and Pd1+Gzmb+Cd8+ (likely terminally differentiated/exhausted) T cells.","[(146, 152, 'T cell', 'CL')]"
PMC6833180,"In contrast, tumors treated with RT alone were enriched with T cells exhibiting the terminally differentiated/exhausted phenotype, which may explain why the TCR repertoire divergence between baseline and post-treatment tumors correlated with treatment effect only for mice treated with RT+anti-CTLA-4.","[(61, 67, 'T cell', 'CL')]"
PMC6833180,"Overall, these results suggest that RT promotes the differentiation of the intratumoral TCR repertoire but in the absence of CTLA-4 blockade it does not drive the expansion and functional differentiation of T cell phenotypes necessary for immune-mediated tumor rejection.","[(207, 213, 'T cell', 'CL')]"
PMC6833180,"[1] This limitation is primarily due to inherently low levels of tumour infiltrating lymphocytes (TILs), particularly in HR+ disease.","[(85, 95, 'lymphocyte', 'CL')]"
PMC6833180,[2] Focal radiation therapy (RT) has been shown to generate anti-tumour T cells and increase TILs using mouse models of breast cancer (BC).,"[(72, 78, 'T cell', 'CL')]"
PMC6833180,Tumour-infiltrating lymphocytes and prognosis in different subtypes of breast cancer: a pooled analysis of 3771 patients treated with neoadjuvant therapy.,"[(20, 30, 'lymphocyte', 'CL')]"
PMC6833180,TME analysis demonstrated that NT03-gel in combination with chemotherapy reduced intratumoral levels of immunosuppressive myeloid subsets and improved the cytotoxic T cell (cT) to regulatory T cell ratio more than nine-fold compared to controls.,"[(165, 171, 'T cell', 'CL')]"
PMC6833180,NT03-gel and radiotherapy increased intratumoral levels of T cell attracting cytokines and chemokines.,"[(59, 65, 'T cell', 'CL')]"
PMC6833180,"In independent experiments, treatment was evaluated in mice following depletion of specific immune cell subsets (CD8+ T cells, CD4+ T cells, macrophages and Batf3+ DCs).","[(118, 124, 'T cell', 'CL')]"
PMC6833180,Flow cytometry analysis was performed on tumor-infiltrating lymphocytes using various markers of immune activation and analyzed by FloJo software (v 10.4).,"[(60, 70, 'lymphocyte', 'CL')]"
PMC6833180,"Therapeutic activity was associated with recruitment of CD8+ T cells into the tumor microenvironment and was dependent on both CD8+ T cells and Batf3+ DCs, as anti-tumor activity was lost when CD8+ T cells, but not CD4+ T cells or macrophages were depleted, and in treated Batf3-/- mice.","[(231, 241, 'macrophage', 'CL'), (61, 67, 'T cell', 'CL')]"
PMC6833180,Characterization of the CD8+ T cells revealed early recruitment of HSV-specific CD8+ T cells followed by melanoma antigen-specific (gp100 and TRP2) CD8+ T cell responses.,"[(29, 35, 'T cell', 'CL')]"
PMC6833180,Gene expression analysis demonstrated that combination therapy induced an immune-inflamed signature supportive of lymphocyte recruitment and activation within the local tumor microenvironment.,"[(114, 124, 'lymphocyte', 'CL')]"
PMC6833180,"One-way, mixed lymphocyte reaction (MLR) assays were performed on human peripheral blood mononuclear cells and mature dendritic cells treated with different concentrations of M4112 in combination with avelumab, a fully human anti–PD-L1 IgG1 antibody, to measure interferon-gamma (IFN-gamma) levels [1].","[(89, 105, 'mononuclear cell', 'CL')]"
PMC6833180,"Not only does systemically administered SGT-53 target cancer cells with specificity, but it can also actively ferry its payload across the endothelial cells that constitute the blood-brain barrier (BBB) [10].","[(139, 155, 'endothelial cell', 'CL')]"
PMC6833180,"A nanoparticle carrying the p53 gene targets tumors including cancer stem cells, sensitizes glioblastoma to chemotherapy and improves survival.","[(69, 78, 'stem cell', 'CL')]"
PMC6833180,"Subsequently, we analyzed the tumor infiltrating lymphocyte (TIL) population and the cytokine profiles in serum of tumor bearing animals.","[(49, 59, 'lymphocyte', 'CL')]"
PMC6833180,"Nevertheless, a more detailed analysis of the TIL subpopulations revealed higher percentages for gMDSC and M2 macrophages in the EMT6/BRCA1-/- line.","[(110, 120, 'macrophage', 'CL')]"
PMC6833180,We also performed immuno-depletion studies and analysis of tumor-infiltrating lymphocyte (TIL) from treated mice to investigate the role of innate (NK cells) and adaptive immune players (CD8 T cells) in providing protective benefits of derived from the combination therapy.,"[(78, 88, 'lymphocyte', 'CL'), (191, 197, 'T cell', 'CL')]"
PMC6833180,"Taken together, this is the first study to show that specific stimulation of the IgE/FcεRIα axis in combination with PolyICLC and anti-PD-L1 can activate CD8 T cell and NK cell effector pathways and provide long-lasting tumor-protective benefits against pancreatic cancer.","[(158, 164, 'T cell', 'CL')]"
PMC6833180,"For example, B cells can augment T-cell responses against tumor challenge as antigen presenting cells, while B cells can also blunt anti-tumor responses by developing neutralizing antibodies against therapeutic antibodies.","[(13, 19, 'B cell', 'CL')]"
PMC6833180,"In the context of targeted immunotherapy using antibody-based therapeutics, an important question arises as to whether B cells are necessary for eliciting an anti-tumor immune response.","[(119, 125, 'B cell', 'CL')]"
PMC6833180,"More specifically, in the absence of B cells CD8+ T-cell expansion in the tumor was diminished and memory T-cell development was systemically impaired.","[(37, 43, 'B cell', 'CL')]"
PMC6833180,We also report that B cells are required for reciprocal crosstalk activation between 4-1BB and PD-L1 signaling pathways which could augment the synergistic response of combination therapy.,"[(20, 26, 'B cell', 'CL')]"
PMC6833180,"Results from single cell RNASeq suggest that B cells promote T-cell mediated tumor immunity through the production of cytokines that increase antigen processing and presentation, and support T-cell activation, proliferation and differentiation.","[(45, 51, 'B cell', 'CL')]"
PMC6833180,Our results reveal an underappreciated role of B cells in T-cell targeted cancer immunotherapy.,"[(47, 53, 'B cell', 'CL')]"
PMC6833180,"However, in many cancer types, cancer cells are able to avoid recognition of cytotoxic T cells because they present self-antigen on the cell surface [2].","[(87, 93, 'T cell', 'CL')]"
PMC6833180,We found that the overexpression of IDO or TDO in a pre-clinical model of melanoma (B16-F10) promoted CD8+ T cell dysfunction and accumulation of M2-TAMs and Tregs with an activation of the AHR pathway and enhanced suppressive function.,"[(107, 113, 'T cell', 'CL'), (84, 91, 'B16-F10', 'CLine')]"
PMC6833180,This mechanism requires CD8+ T cell activation and IFN-gamma expression.,"[(29, 35, 'T cell', 'CL')]"
PMC6833180,This work reveals a tumor-intrinsic PD-L1-NLRP3 inflammasome signaling pathway triggered by CD8+ T cell activation that ultimately drives adaptive resistance to anti-PD-1 immunotherapy by promoting the recruitment of PMN-MDSCs to the tumor bed.,"[(97, 103, 'T cell', 'CL')]"
PMC6833180,"To eliminate the compounding effects of diet and explore if therapy response can be improved in DIO mice, the current study evaluated response rates to AdT/CpG combined with anti-cytotoxic T-lymphocyte-associated protein 4 (CTLA-4) in diet-matched obese-resistant (OBR) versus DIO mice.","[(191, 201, 'lymphocyte', 'CL')]"
PMC6833180,"At day 21 post-tumor challenge, immunogenetic profiling of whole-tumors was performed via nanoString and tumor-infiltrating lymphocytes were characterized by flow cytometry.","[(124, 134, 'lymphocyte', 'CL')]"
PMC6833180,"A third of these “responder” genes were related to T cell function or migration (e.g., Cd8a, CD274, Icos, Icosl, Zap70, Cxcr3, Xcr1, Il16).","[(51, 57, 'T cell', 'CL')]"
PMC6833180,"Cellular analyses demonstrated that OBR therapy-treated responder mice had a greater percentage of tumor-infiltrating activated (CD44+) CD8+ T cells compared to DIO therapy-treated responder mice (p=0.004); however, CD8+ T cell IFNγ production and PD-1 expression were comparable between these groups.","[(141, 147, 'T cell', 'CL')]"
PMC6833180,"However, both OBR and DIO therapy-treated responder mice shared immunogenetic and T cell profiles independent of weight status.","[(82, 88, 'T cell', 'CL')]"
PMC6833180,Analytical variability from 14 repeated acquisitions of the same human peripheral blood mononuclear cell sample on multiple days was low (interquartile range <10% median frequencies) and within the expected inter-experiment variability (Figure 2).,"[(88, 104, 'mononuclear cell', 'CL')]"
PMC6833180,"Laboratory testing noted elevated erythrocyte sedimentation rate, C-reactive protein, positive antinuclear antibody (ANA), elevated anti-Ro and elevated anti-La antibody titers.","[(34, 45, 'erythrocyte', 'CL')]"
PMC6833180,"Most importantly, more than 60% of the infiltrating immune cells were CD8 T cells, one third of which co-expressed the markers CD39 and CD103, a phenotype characteristic of tumor-reactive T cells.","[(74, 80, 'T cell', 'CL')]"
PMC6833180,Those CD39+CD103+ CD8 T cells expressed high levels of PD-1 and CTLA-4 and were highly proliferative in vivo as demonstrated by Ki-67 staining.,"[(22, 28, 'T cell', 'CL')]"
PMC6833180,"Using multiplex IHC, we confirmed that this pattern was unique to the recurring CRLM as very few CD8 T cells were found in the primary tumor.","[(101, 107, 'T cell', 'CL')]"
PMC6833180,"Sequencing of the CDR3 region of the TRB genes expressed by the CD8 T cells isolated from the CRLM supported the flow cytometry data, with the presence of one unique clonotype accounting for one-third of all the CDR3 sequences in the CD8 T cells, indicative of a strong local expansion.","[(68, 74, 'T cell', 'CL')]"
PMC6833180,We are now performing whole-exome and RNA sequencing on both tissues in order to identify the mutations recognized by those tumor-infiltrating CD8 T cells and determine if those mutations were already present in the primary tumor or emerged during the metastatic transformation process.,"[(147, 153, 'T cell', 'CL')]"
PMC6833180,In TNBC the presence of tumor infiltrating lymphocytes (TILs) is predictive of response to chemotherapy and associates favorably with patient survival.,"[(43, 53, 'lymphocyte', 'CL')]"
PMC6833180,"However, in ER+ breast cancer the relationship between T cell infiltration and disease is less clear.","[(55, 61, 'T cell', 'CL')]"
PMC6833180,"Here we profile human breast tumors for the functional, phenotypic, and transcriptional profile of exhausted CD8+ T cells and their correlation with survival in patients.","[(114, 120, 'T cell', 'CL')]"
PMC6833180,Single cell sorted T cells were subjected for whole transcriptome RNA sequencing and bulk sorted T cells were submitted for T cell receptor repertoire sequencing by Adaptive Biotechnologies.,"[(19, 25, 'T cell', 'CL')]"
PMC6833180,"Functional and phenotypic analysis identified T cells to have a reduced capacity for IFNγ, TNFα, and IL-2 production.","[(46, 52, 'T cell', 'CL')]"
PMC6833180,"Further phenotyping of exhausted CD8+ T cells revealed a loss of expression of both the IL-7 receptor alpha (CD127) and KLRG1, suggesting terminal differentiation of these cells.","[(38, 44, 'T cell', 'CL')]"
PMC6833180,T cell receptor analysis demonstrated increased oligoclonality of exhausted CD8+ T cells as compared to other CD8+ TILs.,"[(0, 6, 'T cell', 'CL')]"
PMC6833180,This work is the first to demonstrate a T cell subset beneficial to survival outcomes of ER+ breast cancer patients.,"[(40, 46, 'T cell', 'CL')]"
PMC6833180,Immunotherapeutic interventions to expand exhausted CD8+ T cell populations may offer improved overall survival in breast cancer patients.,"[(57, 63, 'T cell', 'CL')]"
PMC6833180,"Interestingly, intracellularly, Gal-3 functions through protein-protein interactions and is upregulated in T cells following T cell receptor (TCR) stimulation in the presence of IL-2.","[(107, 113, 'T cell', 'CL')]"
PMC6833180,"However, the function and mechanisms by which intracellular Gal-3 regulates CD8 T cell responses are poorly understood.","[(80, 86, 'T cell', 'CL')]"
PMC6833180,Wild type (WT) or Gal-3-/- OT-I CD8 T cells were adoptively transferred into WT mice and then stimulated with soluble ovalbumin protein along with an agonist anti-OX40 mAb or rIL-2/IL-2 mAb complexes (IL-2c).,"[(36, 42, 'T cell', 'CL')]"
PMC6833180,"The frequency, phenotype, and effector/memory status of the adoptively transferred CD8 T cells was determined in the peripheral blood (days 7 and 14) and spleen (day 29) by flow cytometry.","[(87, 93, 'T cell', 'CL')]"
PMC6833180,"In the current study, we demonstrate that Gal-3-deficient CD8 T cells exhibited no defects in early (36 hrs) activation or proliferation.","[(62, 68, 'T cell', 'CL')]"
PMC6833180,"In contrast, Gal-3-/- CD8 T cells exhibited decreased survival and a reduced capacity to develop into memory cells following stimulation with cognate antigen plus agonist anti-OX40 mAb or IL-2 in vivo.","[(26, 32, 'T cell', 'CL')]"
PMC6833180,Decreased survival of Gal-3-/- T cells was associated with increased apoptosis (Annexin V) and occurred in a cell-intrinsic manner.,"[(31, 37, 'T cell', 'CL')]"
PMC6833180,Additional studies are underway to evaluate the extent to which Gal-3 regulates T cell-mediated anti-tumor immunity.,"[(80, 86, 'T cell', 'CL')]"
PMC6833180,"Together, these data implicate intracellular Gal-3 as a critical mediator of OX40-mediated CD8 T cell survival and memory formation following antigen exposure.","[(95, 101, 'T cell', 'CL')]"
PMC6833180,Transforming Growth Factor-beta Signaling in Regulatory T cells Controls T Helper-17 Cells and Tissue Specific Immune Responses.,"[(56, 62, 'T cell', 'CL')]"
PMC6833180,"Formation and phenotypic characterization of CD49a, CD49b, CD103 expressing CD8 T cell populations in human metastatic melanoma.","[(80, 86, 'T cell', 'CL')]"
PMC6833180,"Myeloid-derived suppressor cells (MDSCs) are a heterogeneous population of cells that consists of myeloid progenitor cells and immature granulocytes or polymorphonucleares (PMN), immature macrophages (M), and immature dendritic cells (DCs).","[(188, 198, 'macrophage', 'CL')]"
