pmid_or_ft_id,ann_type,partial_match_count,total_ml_count,total_dict_count,ml_not_in_dict_count,dict_not_in_ml_count,ml_not_in_dict,dict_not_in_ml,partial_matches
11297988,chemical,34,41,38,14,11,fluorophore; aminoacylation; acetate; glycine; ethylcarbodiimide; sodium; potassium; nucleotide; amino acid; aminoacyl; ethylene diamine; monophosphate; hydroxyl; amine,hydroxyl groups; flash; ethylene; an amine; mg2+; cy3; potassium acetate; sodium acetate; sec; diamine; quartz,triphosphate; salt; acetate; polyacrylamide; potassium; isopropanol; trolox; hydroxyl; ethylene glycol; nucleotides; oligonucleotide; spermidine; sodium; hydrochloride; adenosine; ethanol; biotin; protocatechuic acid; glycerol; delta; nitrogen; chloroform; purine; glucose; water; nucleotide; ampicillin; sodium carbonate; imidazole; oligonucleotides; ethylene diamine; phenol; amine; urea
11297988,go_term,10,11,14,5,8,binding; pairing; translational; -regulating; -,ribosome binding; no binding; base pairing; intracellular; behavior; translation; behaviors; biological regulation,binding; pairing; protein synthesis; synthesis; translational; conjugation; -regulating; ribosome; metabolism; gene expression
11297988,exp_methods,7,10,12,5,7,x-ray scattering; fã¶rster resonance; assays; total internal reflection fluorescence; single-molecule,aminoacylation; biolayer interferometry; in vitro transcription; fluorescence microscopy; x-ray; pca; biosensors,fret; size exclusion chromatography; x-ray scattering; biosensor; fluorescence; total internal reflection fluorescence; electrophoresis
11297988,organism,7,8,8,2,2,mtb; e. coli dh5î±,e. coli; b. subtilis,m. tuberculosis; mycobacterium tuberculosis; gram-positive bacteria; nocardia farcinica; e. coli dh5î±; t7; bacillus subtilis
11245479,chemical,17,30,28,13,11,valine; tryptophan; asparagine; nanoparticle; brilliant; arginine; aspartic acid; polyalanine; lysine; l-glutamine; amino acid; amino acids; nucleotide,maltose; base1; glycol;  secs; atoms; glycoprotein; tween-20; titan; lauryl; fluor; neopentyl,glycans; formate; salt; tween 20; squalene; carbon; ethane; electrons; peptide; gentamicin; nitrogen; peptides; glycan; ketamine; disulfide; dextran; electron
11245479,gene_protein,17,28,18,15,5,gp160; b cell receptors; igg; antibody; env glycoprotein; fp3; cd8; antibodies; envelope; cd16; sa; ds; fp; bsa; cd4,streptavidin; core protein; fr2; papain; cdr,gp160; ccr5; bcr; env; grp; luciferase; env glycoprotein; beta-galactosidase; protein a; alkaline phosphatase; envelope; fp1; gp120; cd20; fp; gp41; cxcr4
11245479,go_term,7,9,13,3,7,binding; glycosylation; somatic hypermutation,protein complex; antibody production; humoral immune responses; memory; envelope; antigen binding; humoral immune response,binding; membrane; immune response; immune responses; host cells; degradation; gene expression
11245479,disease,3,4,3,1,0,aids,,chronic infection; chronic infections; infection
11245479,exp_methods,7,11,14,5,8,affinity chromatography; assays; neutralization; facs; affinity,biolayer interferometry; glycosylation; transfections; biosensor; blood draws; bio-layer interferometry; transfection; biosensors,assay; assays; elisa; size-exclusion chromatography; elisas; electron microscopy; flow cytometry
11245479,organism,14,19,14,7,2,turquoise; viruses; human primates; animal; virus; pseudoviruses; pseudovirus,primate; primates,macaca mulatta; human; hiv; rabbits; mice; e. coli; human primates; macaque; animal; humans; hiv-1; rhesus macaques; animals; rhesus macaque
11298648,chemical,11,14,12,7,5,alcohol; sodium; amino acid; pyruvate; amino acids; xylazine; phosphate,sodium pyruvate; amino; aqua; mercaptoethanol; mega,streptomycin; ionomycin; peptide; penicillin; sodium; amino acid; pyruvate; peptides; ketamine; amino acids; oxygen
11298648,gene_protein,55,72,50,31,9,hla-dr; albumin; shiga toxin; 21; type i ifn; igg1; fc receptor; ctl; k b; il-12; cytokines; hla class ii; pdgf-î²; fgf; cd8; cytokine; mhc class i; cd4; dc1; cd3; antibodies; collagenase iv; il-1ra; th1 cytokine; collagenase d; hla class i; s1; cd16; basic fgf; antibody; igg,s1 protein; ifn; mip; s1a; s1b; ip10; mip1-î²; collagenase; th1,hla-dr; cd86; ifn-î³; 21; albumin; type i ifn; ccl5; mcp1; cxcr5; il-9; il-7; cd28; il-17; il-12; il-21; eotaxin; hla class ii; tnfî±; dnase i; tnf-î±; cd8; g-csf; hla; il-5; ip-10; cd4; cd40l; bcl6; cxcl10; ccr6; il-15; il-4; ova; mip1-î±; collagenase iv; il-10; ovalbumin; il-1ra; cxcr3; th1 cytokine; collagenase d; cd14; mcp-1; il-6; il-2; il-8; hla class i; cd19; vegf; il-13; s1; ifnî³; il-1-î²; gm-csf; ccl20
11298648,go_term,7,9,13,3,7,antigenic presentation; binding; cross-presentation,cytokines secretion; adaptive immune response; receptor binding; learning; cytokine production; sensitization; memory,binding; immune response; death; secretion; immune responses; digestion; cell proliferation
11298648,disease,13,15,11,7,3,covid-19 infection; covid infection; infectious diseases; covid-19; sars-cov-2 infection; immunosuppressive diseases; -2 infection,breakthrough infections; emerging infectious diseases; breakthrough infection,diabetes; viral infection; covid-19 infection; infections; covid infection; lymphopenia; infectious diseases; tumor; infection; sars-cov-2 infection; cancer; -2 infection; viral infections
11298648,exp_methods,6,7,6,3,2,-; assays; lavage,bronchoalveolar lavage; pma,assay; assays; pcr; lavage; pca; flow cytometry
11298648,organism,11,17,9,9,1,c57bl/6 mice; sars cov-2; women; sars-cov-2; coronaviruses; animal; c57bl/6j mice; sars-cov; kb,h1n1,c57bl/6 mice; hiv; human; mouse; mice; coronaviruses; macaques; c57bl/6j mice; humans; h5n1; coronavirus
11246997,gene_protein,48,72,47,34,9,il-1b; nbp; nf-îºb; pattern recognition receptor; pro-inflammatory cytokines; toll-like receptors; sod; transcription factor; phosphoglycerate mutase 5; tgf-î²; myeloid differentiation factor 88; ig; nod-like receptor protein-3; inflammatory cytokine; lipoxin a4; cytokine; nucleotide binding oligomerization domain-like receptor protein 3; of the interferon; necrosis factor-alpha; cd4; immunoreceptor; -reduction; transferrin receptor; sting; programmed cell death 1; antibodies; pgam 5; crp; nuclear factor-e2-related factor 2; rabb h; antibody; sars; adhesion molecules; gr,protein 3; transferrin; interferon; pgam; phosphoglycerate mutase; protein-3; fer-1; cyclooxygenase-2; interleukin-1î²,il-1b; pd-1; il-18; auf1; solute carrier family 7 members 11; netrin-1; nadph oxidase 1; cyclic gmp-amp synthase; pd-l1; il-1î²; toll-like receptors; receptor interacting protein 3; gpx4; tlr4; ace2; tlrs; slc7a11; phosphoglycerate mutase 5; cox2; ig; nod-like receptor protein-3; proton pump; tnf-î±; of the interferon; tigit; toll like receptor 4; transferrin receptor; sting; nox1; bax; superoxide dismutase; myd88; pgam 5; ctla-4; rip3; tfrc; nlrp3; mcp-1; il-6; glutathione peroxidase 4; il-8; cgas; nrf2; pgam5; icam-1; nucleotide binding oligomerization domain-like receptor protein 3; heme oxygenase-1; ho-1
11246997,chemical,7,11,12,5,6,tyrosine; ipilimumab; tetramethylpyrazine; î²-hydroxybutyrate; epigallocatechin gallate,malondialdehyde; gallate; lipoxin a4; fe2+; emodin; glutamate,catechin; lipopolysaccharide; cisplatin; glutathione; glucocorticoids; oxygen; epigallocatechin gallate
11246997,go_term,19,20,23,4,7,ferroptosis; death; mitochondrial; cell necrosis,nucleotide binding; programmed cell death; cell death; intracellular; oxidation-reduction; regeneration; memory,mitochondrial; pyroptosis; autophagy; coagulation; endoplasmic reticulum; pathogenesis; inflammatory response; membrane; angiogenesis; ferroptosis; death; immune responses; metabolism; dephosphorylation; immune response; inflammatory responses; innate immunity; mitochondria; apoptotic cell death
11246997,disease,45,58,44,23,9,renal insufficiency; chf; chronic nephropathy; cin; acute kidney damage; renal failure; kidney failure; renal injuries; renal iri; kidney damage; s; ferroptosis; acute renal injury; renal injury; shock; systemic inflammatory response syndrome; covid-19; acute renal injuries; septic shock; kidney; renal ischemia-reperfusion injury; kidney injury; injuries,"ischaemia; self-tolerance; renal failure, acute; acute kidney injuries; ischemia; kidney failure, acute; immune dysfunction; renal ischemia; renal insufficiency, acute",vasculitis; renal insufficiency; impaired renal function; kidney diseases; autoimmune disease; nephritis; acute kidney failure; acute renal failure; cirrhosis; kidney insufficiency; glomerulonephritis; acute kidney insufficiencies; chronic kidney disease; acute kidney failures; malignant tumours; renal insufficiencies; acute pancreatitis; renal failure; kidney failure; chronic allograft nephropathy; renal disorders; lung cancer; tubulointerstitial nephritis; s; acute kidney injury; acute renal injury; sepsis; acute renal insufficiencies; kidney insufficiencies; acute tubulointerstitial nephritis; acute renal injuries; acute renal failures; renal failures; kidney failures; kidney; renal ischemia-reperfusion injury; inflammatory diseases; acute kidney insufficiency; tumour; kidney injury; infection; cancer; injuries; acute renal insufficiency; acute interstitial nephritis
11246997,exp_methods,1,1,3,0,2,,translocation; mda,biopsy
11246997,organism,7,9,6,4,1,ligusticum wallichii; animal; microorganisms; 2019 novel coronavirus,ligusticum,human; mouse; mice; 2019 novel coronavirus; rats; ligusticum wallichii; coronavirus
10363176,disease,8,9,8,2,1,metastatic; psychological distress,cancer progression,depression; metastatic; addiction; metastatic disease; metastatic cancer; cancer; leukemia; anxiety
10363176,chemical,2,6,2,4,0,ibuprofen; opioid; morphine; opioids,,gabapentin; acetaminophen
10363176,go_term,3,3,4,0,1,,sensitization,sleep; cognitions; rumination
11319008,disease,1,2,1,1,0,hematoma,,erectile dysfunction
11319008,go_term,1,2,1,1,0,erection,,micturition
10524011,gene_protein,19,28,15,17,4,terf1-interacting nuclear factor 2; liver enzymes; gamma-glutamyl transferase; alanine aminotransferase; telomere elongation helicase 1; telomere replication complex component 1; cst telomere replication complex component 1; ggt; regulator of telomere length 1 helicase; enzyme; regulator of; terc; poly(a)-specific ribonuclease; terf1; interacting nuclear factor 2; cd31; reticulin,telomerase reverse transcriptase; ribonuclease; terf1 interacting nuclear factor 2; helicase 1,alanine aminotransferase; telomere elongation helicase 1; tinf2; interacting nuclear factor 2; reverse transcriptase; glut-1; tert; cst telomere replication complex component 1; alt; terf1-interacting nuclear factor 2; aspartate aminotransferase; regulator of telomere length 1 helicase; cst; terf1; parn; rtel1; poly(a)-specific ribonuclease; ast; ctc1
10524011,chemical,3,3,6,0,3,,bilirubin; reticulin; gamma-glutamyl,hematoxylin; prussian blue; iron
10524011,go_term,6,8,6,4,2,telomeres; granules; lumen; intravascular coagulation,telomere maintenance; coagulation,telomeres; cytoplasm; intravascular coagulation; pigmentation; aging; pathogenesis
10524011,disease,54,69,54,31,16,oral squamous cell carcinoma; dc; endothelial cell dysfunction; endothelialitis; bone marrow; genetic; obliterative portal venopathy; vascular disorders; metastatic colorectal adenocarcinoma; avm; hiv infections; zinsser-cole-engman syndrome; cancer predisposition syndrome; telomere biology disorders; portal venopathy; pulmonary arteriovenous malformation; telomere disorders; avascular necrosis; oral scc; telomere disorder; mixed connective tissue disorder; marrow failure; infiltrative diseases; autoimmune; portal; gvhd; cerebellar hypoplasia; tumor; disseminated; multisystemic disorder; incomplete septal cirrhosis,connective tissue disorder; hypertrophic; hypertension; infections; inflammation and fibrosis; congestion; tumor progression; hypoplasia; cholestasis; chronic passive congestion; nodular hyperplasia; bridging fibrosis; nodular regenerative hyperplasia; dyskeratosis; cancer; hepatic failure,oral leukoplakia; oral squamous cell carcinoma; veno-occlusive disease; cirrhosis; bone marrow; ataxia telangiectasia; hoyeraal-hreidarsson syndrome; systemic lupus erythematosus; obliterative portal venopathy; chronic disease; congenital hepatic fibrosis; graft versus host disease; venopathy; squamous cell carcinoma; metastatic colorectal adenocarcinoma; revesz syndrome; hiv infections; dyskeratosis congenita; squamous cell carcinoma of the lip; hemosiderosis; exudative retinopathy; cancer predisposition syndrome; portal venopathy; nail dystrophy; pulmonary arteriovenous malformation; opportunistic infections; arteriovenous malformation; hepatic fibrosis; mixed connective tissue disorder; pulmonary fibrosis; marrow failure; infiltrative diseases; portal hypertension; hepatopulmonary syndrome; autoimmune; angiosarcoma; schistosomiasis; sarcoidosis; autoimmune hepatitis; portal; colorectal adenocarcinoma; benign hemangioma; cholangiopathies; cerebellar hypoplasia; hepatic angiosarcoma; bone marrow failure; steatosis; hemangioma; tumor; biventricular hypertrophy; liver disease; infantile hemangioma; celiac disease; incomplete septal cirrhosis
10524011,exp_methods,2,2,2,0,0,,,biopsies; biopsy
10524011,organism,0,2,0,2,0,man; woman,,
10527721,disease,8,9,9,2,2,cd; chronic autoimmune diseases,ulcerative; autoimmune diseases,chronic illnesses; inflammatory bowel disease; chronic diseases; inflammatory bowel diseases; chronic autoimmune diseases; chronic illness; cancer; ulcerative colitis
10527721,chemical,1,2,2,1,1,aminosalicylates,3 at,corticosteroids
10527721,go_term,1,1,1,0,0,,,death
10398259,gene_protein,2,3,2,1,0,cyclooxygenase,,cox-1; cox-2
10398259,chemical,13,13,14,3,4,oxygen; carboxylic; carboxyl,2-oleoyl-sn-glycero-3-phosphocholine; atoms; carboxyl group; oxygen molecules,ibuprofen; carboxylic; carboxyl; peptide; lipid; phospholipid; palmitoyl; dioleoylphosphatidylcholine; water; oxygen; hydroxyl; hydrogen; dipalmitoylphosphatidylcholine
10398259,go_term,3,3,6,0,3,,membrane region; memory; transport,membranes; organelles; membrane
11333954,gene_protein,6,9,5,4,0,antibodies; lac; collagen; ache,,laccase; lac; cholesterol oxidase; acetylcholinesterase; uricase; cholesterol esterase
11333954,chemical,85,92,86,28,22,"alizarin red s; graphene oxide; -walled carbon nanotubes; ruthenium hexamine; chloride; peroxalate; ,4; layered; hemi-cellulose; cholesterol oleate; -isopropylacrylamide; l -cysteine; î²-cyclodextrin; (hydroxyalkanoates; polyethylenimine; nanoparticle; reduced graphene oxide; lactic acid; guar-gums; -; diaminotoluene; acetyl thiocholine; polystyrene; ferro; polymers; ethylene oxide; tin; triethoxysilane","pb2+; alizarin red; photons; 2,4-diaminotoluene; cu2+; attapulgite; glycolic acids; ruthenium; nanostructure; collagen; potassium atom; gold(iii) chloride; hexamine; acetyl; hydroxides; poly(lactic acid); di-block copolymer; tin-oxide; l-cysteine; block copolymer; polystyrene-b-poly(ethylene oxide); multiwalled carbon nanotubes","polythiophene; acetate; chloride; copper; ,4; paracetamol; luteolin; tin oxide; biopolymer; oxide; ethanol; electron; polylactide; calcium carbonate; silicon; lactic acid; acetyl thiocholine; caprolactone; polystyrene; diclofenac; pectin; aminoalcohol; polypyrrole; carbon; electrons; amino alcohol; potassium; -walled carbon nanotubes; polyglycolic acid; oleate; mineral; diuron; nanocrystals; lignin; cation; acetic acid; amino; nanoparticle; deoxyribonucleic acid; graphite; reduced graphene oxide; -; metals; ethylene oxide; tin; gelatin; gold nanoparticles; polyaniline; graphene; 2-nitrophenol; alizarin red s; hemi-cellulose; platinum; cholesterol oleate; l -cysteine; multi-walled carbon nanotube; chitin; biopolymers; hydroxyapatite; glucose; chitosan; polyvinyl alcohol; ferrocene; furaltadone; ferrocyanide; indium; silica; graphene oxide; uric acid; cyclodextrin; alginate; ruthenium hexamine; hydroquinone; cholesterol; î²-cyclodextrin; multi-walled carbon nanotubes; ascorbic acid; water; diaminotoluene; cellulose; ferro; polymers; cyanide; dopamine; carbon nanotubes"
11333954,go_term,4,4,6,0,2,,behaviour; behavior,membrane; pore; synthesis; biomineralization
11333954,disease,2,3,2,1,0,cyst,,hypouricemia; hyperuricemia
11333954,exp_methods,4,5,8,1,4,afm,polymerization; differential scanning calorimetry; chemical treatments; biosensors,atomic force microscopy; biosensor; x-ray; fluorescence
11333954,organism,1,1,1,0,0,,,human
10357272,disease,1,3,1,2,0,empathy; emotional exhaustion,,substance use disorder
10357272,go_term,1,1,3,0,2,,learning; behavior,death
10370901,chemical,5,8,10,4,6,glucocorticoids; oestrogen; morphine; polygalactin,haemoglobin; polydioxanone; 1001; collagen; polyglactin 910; lata,polypropylene; polyvinylidene fluoride; polytetrafluoroethylene; polygalactin; polyester
10370901,gene_protein,0,4,0,4,0,hb; cupido 2; cupido 1; collagen,,
10370901,go_term,6,9,10,3,4,organ; behavioural; organ prolapse,defecation; vision; muscle contraction; gestation,lactation; synthesis; envelopes; envelope; hypersensitivity; menopause
10370901,disease,58,80,36,47,3,pelvic disease; voiding dysfunction; enterocele; voiding disorder; urge urinary incontinence; vaginal prolapse; apical; injury; inflammatory bowel; apical uterine prolapse; urinary incontinnece; uti; prolapse apical prolapse; pelvic floor dysfunction; cervical; immunosuppression; uterovaginal prolapse; pelvic organ cancer; bladder; copd; pelvic malignancy; nconcontinence; anterior compartment prolapse; retroperitonitis; vaginal vault prolapse; urinary urge incontinence; continence; endometrial malignancy; urinary voiding dysfunction; voiding; urinary; intestinal inflammatory disease; gynaecological malignancy; vault prolapse; anterior vaginal prolapse; recurrent prolapse; cervical prolapse; apical vaginal prolapse; yspareunia; urinary voiding; apical prolapse; connective tissues disorders; adhesions; constipation; urge incontinence; anterior prolapse; prolapse,systemic connective tissues disorders; paravaginal; cancer,incontinence; stress incontinence; overactive bladder; urge urinary incontinence; acute infection; pelvic inflammatory disease; stress urinary incontinence; urinary tract infection; small bowel obstruction; apical uterine prolapse; neurological disorders; endometrial cancer; urinary incontinnece; prolapse apical prolapse; heart failure; faecal incontinence; cervical; pelvic organ cancer; cystocele; urinary incontinence; bladder; pelvic malignancy; nconcontinence; anterior compartment prolapse; urinary urge incontinence; cervical dysplasia; continence; endometrial malignancy; urinary; cervical intraepithelial neoplasia; rectocele; intestinal inflammatory disease; gynaecological malignancy; obesity; diabetes; malignancy; vault prolapse; urinary infection; urogenital fistula; recurrent prolapse; cervical prolapse; dyspareunia; sexual dysfunction; diverticular abscess; uterine prolapse; urinary stress incontinence; yspareunia; pelvic organ prolapse; haematological disorders; apical prolapse; connective tissues disorders; rectal prolapse; urge incontinence; infection; respiratory disease; anterior prolapse; ileus; prolapse
10370901,exp_methods,1,1,3,0,2,,inversion; hysterectomy,dissection
10370901,organism,0,2,0,2,0,women; woman,,
11324532,gene_protein,26,44,27,23,6,erk kinases; âproteinâcoupled receptors; chemokine receptor; mek; syn; protease; chemokine receptors; p44/42 mapk; raf; gtpase; ras; proâinflammatory cytokine; antibodies; bsa; g; gpcrs; caspaseâ3; nmda receptor; gâproteinâcoupled receptors; a; antibody; chemokines; câc chemokine receptor type 5,tnf; neuronal proteins; caspase; protein a; p44; neuronal protein,erk kinases; ccl5; ccl3; map2; p44/42 mapk; mtor; p38; erk; gm130; phosphatase; p38 mapk; iba1; psd95; mapk; ccr5; cd81; caspaseâ3; hrp; gpr37; gpr; cd63; gapdh; a; g; ccl4; cd9
11324532,chemical,19,20,21,1,2,wax,fluor; fluoro,isoflurane; lipopolysaccharide; carbon; copper; streptomycin; paraformaldehyde; phosphotungstic acid; ethanol; penicillin; maraviroc; water; agarose; povidone; iodine; polystyrene; oligonucleotides; rapamycin; amantadine; oxygen
11324532,go_term,23,28,28,7,7,binding; longâterm depression; death; mushroom spine; neuron; microglial activation; longâterm potentiation,uptake; cell death; behavior; postsynaptic density; cytokine production; learning; memory,extracellular; membranes; apoptotic vesicles; gene expression; synapses; synapse; secretion; synthesis; neuron development; neuron; vesicle; vesicles; death; immune responses; reverse transcription; extracellular vesicle; dendritic spine; signal transduction; extracellular vesicles; inflammatory responses; dendritic spines; cell proliferation; phosphorylation
11324532,disease,8,13,9,6,2,memory impairment; neurocognitive disorder; cns diseases; neurocognitive disorders; neurological illnesses; neuroinflammatory disease,postoperative cognitive dysfunction; cognitive deficits,neurodegenerative diseases; neuroinflammatory disease; cognitive impairments; cognitive decline; inflammatory diseases; cognitive dysfunction; infection; neurologic disorders
11324532,exp_methods,9,9,9,3,3,immunofluorescence; assays; coâimmunoprecipitation,gtpase; transfection; immunoprecipitation,immunofluorescence; assay; assays; coâimmunoprecipitation; elisa; pcr; fluorescence; transmission electron microscopy; protein assay
11324532,organism,5,6,3,3,0,c57bl/6 mice; animal; human,,c57bl/6 mice; mouse; mice; animal; animals
11311446,gene_protein,14,27,14,18,5,.; kinases; kinase; cd4; intracellular fibroblast growth factor; serine/threonine kinases; akt; voltage-gated sodium channels; (nav); cdk; fgfs; voltage-gated sodium; tyrosine kinase; gsk3 xiii; wee1 kinase; gsk3 kinase; tau; cyclin-dependent kinases,cyclin; ck2; nav1; cyclins; growth factor,scn2a; gsk3; luciferase; wee1; intracellular fibroblast growth factor; fgf14; gsk3î²; gfp; gsk3 xiii; wee1 kinase; gsk3 kinase; fibroblast growth factor 14; jak2; cyclin-dependent kinases
11311446,chemical,8,13,10,5,2,threonine; tyrosine; luciferin; amino acid; serine,g418; c(4),triciribine; streptomycin; phenol red; salts; penicillin; sodium; pyruvate; glucose
11311446,go_term,11,13,14,5,6,signalosome; depolarization; action; pore-forming; channel,pore; plasma membrane; intracellular; cell cycle checkpoint; channel activity; action potential,action potentials; membrane; phosphorylation; cell cycle; mitosis; action; pore-forming; synaptic transmission; extracellular; degradation; channel
11311446,disease,6,6,6,0,0,,,schizophrenia; channelopathies; neurodevelopmental disorders; autism spectrum disorder; cancer; epilepsy
11311446,exp_methods,1,2,3,1,2,complementation,transfection; ubiquitination,assay
11311446,organism,1,1,1,0,0,,,human
11344710,gene_protein,7,13,7,8,2,rho gtpase activating protein 42 pseudogene 1; ribosomal protein l35a pseudogene 31; psa; arhgap42p1; cd8; cd4; dachshund homolog 1 isoform c; lump,rho gtpase activating protein 42; dachshund homolog 1,pd-1; rho gtpase activating protein 42 pseudogene 1; cd14; cd19; cd20; prostate-specific antigen; dachshund homolog 1 isoform c
11344710,chemical,0,0,4,0,4,,holmium; radio; formalin; radical,
11344710,go_term,6,6,9,1,4,extracellular,enucleation; extracellular matrix; visual perception; learning,angiogenesis; secretion; localization; extracellular; segmentation; methylation
11344710,disease,8,9,6,3,0,benign; hyperplasia; pca,,esophageal cancer; prostate cancer; hyperplasia; benign prostatic hyperplasia; tumors; tumor; cancer; benign
11344710,exp_methods,3,3,4,0,1,,assay,biopsies; feature extraction; biopsy
11344710,organism,1,1,1,0,0,,,human
10413412,gene_protein,4,5,2,4,1,estrogen receptor-î±; er; estrogenic receptor; hormone receptors,erî±,estrogen receptor-î±; er; estrogenic receptor; estrogen receptor
10413412,chemical,1,1,4,0,3,,gamma; chemical substances; chemical compound,chemical compounds
10413412,go_term,3,4,6,1,3,binding,learning; behaviors; receptor activity,nucleus; cytoplasm; nucleoplasm
10413412,exp_methods,2,3,2,1,0,assays,,biosensor; pca
10413412,organism,2,2,2,0,0,,,man; humans
11311394,gene_protein,23,35,22,20,7,sars-n; k18; transmembrane glycoprotein; e6; hydroxylase; s100 beta; cytokine; th; nucleocapsid; tyrosine hydroxylase; glycoprotein; -; antibodies; neuronal nuclear protein; gs; glial-derived neurotrophic factor; spike protein; antibody; igg; ionized calcium-binding adapter protein,neun; neurotrophic factor; neurturin; papain; n protein; nbp2; nrp,sars-n; glutamine synthetase; s100 beta; ace2; s100b; nerve growth factor; th; tyrosine kinase receptors; lectin; -; neuronal nuclear protein; iba1; calcium-binding protein; angiotensin converting enzyme 2; glial-derived neurotrophic factor; hrp; vegf; membrane protein; spike protein; sars; neuropilin-1; collagenase; ionized calcium-binding adapter protein
11311394,chemical,21,30,30,10,10,pa1-28664; carboxyl; eg00229; rhodamine; tyrosine; galactose; xylazine; ma5-27750; carbohydrate; b4,flash; formalin; delta; d-galactose; glycoprotein; diamond; gamma; thiocyanate; fluor; 5-fluorodeoxyuridine,isoflurane; salt; streptomycin; galactose; sodium chloride; paraformaldehyde; ketamine; magnesium; triton; penicillin; chloroform; sucrose; water; calcium; fluorodeoxyuridine; guanidinium; agarose; formaldehyde; trichloroethanol; phenol; phenylindole
11311394,go_term,22,24,29,8,13,binding; somatosensation; axon growth; cytoplasmic; cytoplasmic puncta; axonal; membranes; nerve,viral penetration; nerve endings; axon; axonal transport; reproduction; intracellular; cell death; cell membranes; replication compartments; viral genome replication; memory; retrograde axonal transport; transport,cytoplasm; extracellular; membranes; gene expression; axon growth; cytoplasmic; axonal; cytoplasmic puncta; vacuoles; localization; viral genome; axon terminals; innervations; membrane; transcytosis; death; nucleocapsid; cell surface; cell bodies; reflex; innervation; nerve
11311394,disease,25,37,17,24,4,hamster infection; autonomic disorders; anosmia; covid-19 syndrome; brainstem infection; 2 infection; 2; cns infection; allodynia; acute necrotizing hemorrhagic encephalopathy; tg neuralgia; dysgeusia; pns; cov-2 infection; intranasal; common cold; covid-19; disseminated infection; ageusia; cord; sars-cov-2 infection; sars; -2 infection; neuronal infection,infects; infect; encephalopathy; endemic disease,hamster infection; acute infection; spinal cord infection; trigeminal neuralgia; transverse myelitis; parasitic infections; brainstem infection; 2 infection; infections; cns infection; autonomic dysfunction; lung infection; horner syndrome; acute necrotizing hemorrhagic encephalopathy; viral infection; tg neuralgia; cov-2 infection; viremia; disseminated infection; -2 infection; cord; infection; sars-cov-2 infection; spinal cord disorders; neuronal infection
11311394,exp_methods,8,9,8,3,2,immunofluorescence; assays; plaque assay,scraping; transgenic,assay; assays; elisa; immunoprecipitation; pcr; confocal microscopy; genotyping; plaque assay
