ext_id,ann_type,partial_match_count,total_ml_count,total_dict_count,found_in_ml_not_in_dict_count,found_in_dict_not_in_ml_count,ml_not_in_dict,dict_not_in_ml,partial_matches
39031386,chemical,1,1,1,0,0,,,dopamine
39031386,gene_protein,2,2,2,0,0,,,î±-synuclein; synuclein
39031386,go_term,0,0,1,0,1,,lewy body,
39031386,disease,2,4,2,2,0,lewy body disorders; synucleinopathy,,parkinson's disease; multiple system atrophy
39031386,organism,2,2,2,0,0,,,rats; mice
39462275,go_term,0,0,2,0,2,,behaviours; learning,
39313002,disease,0,1,0,1,0,and stem rot,,
39313002,exp_methods,0,0,1,0,1,,transgenic,
39313002,organism,6,8,7,2,1,virus; oomycetes,glycine max,agrobacterium tumefaciens; p. sojae; soybean; phytophthora; phytophthora sojae; plants
39313002,gene_protein,4,6,4,2,0,pod; sod,,gcn5; ada2; superoxide dismutase; peroxidase
39313002,chemical,0,1,0,1,0,oxygen,,
39313002,go_term,1,1,1,1,1,gene silencing,virus-induced gene silencing,gene silencing
PPR931254,exp_methods,0,0,1,0,1,,illumina sequencing,
PPR931254,organism,0,1,0,1,0,macroinvertebrate,,
PPR931254,go_term,0,0,1,0,1,,learning,
39465688,disease,3,4,3,1,0,tb,,ulcerative colitis; inflammatory bowel disease; chronic diseases
39465688,go_term,1,1,1,0,0,,,sleep
39458985,exp_methods,1,1,2,0,1,,isothermal titration calorimetry,electrophoresis
39458985,chemical,8,9,7,3,1,-cyclodextrins; î²-cyclodextrins; gold,organic molecules,cyclodextrins; phospholipid; methyl; cyclodextrin; adamantane; selenium; -cyclodextrins; î²-cyclodextrins
39458985,go_term,1,2,1,1,0,binding,,vesicles
39458368,disease,3,5,5,2,2,cf; metabolic syndrome,bloody diarrhoea; dysbiosis,cystic fibrosis; infections; infection
39458368,chemical,3,3,3,0,0,,,vancomycin; metronidazole; fidaxomicin
39458368,organism,14,14,15,1,2,clostridioides difficile,c. difficile; v. dispar,verrucomicrobia; klebsiella; microbiota; proteobacteria; bacteroidetes; enterococcus; bifidobacterium; enterococcaceae; escherichia coli; veillonella dispar; actinobacteria; collinsella; clostridioides difficile; firmicutes
39458368,gene_protein,1,1,1,0,0,,,cftr
38390350,disease,1,2,1,1,0,itp,,immune thrombocytopenic purpura
38390350,gene_protein,0,1,2,1,2,nlr,hpr; hemoglobin,
39459897,disease,1,4,1,3,0,and; airway disease; air-borne diseases,,lung diseases
39459897,chemical,0,1,0,1,0,oxygen,,
39459897,gene_protein,1,1,1,0,0,,,cd163
39459897,organism,4,4,3,2,1,respiratory syndrome virus; porcine reproductive and respiratory virus,porcine reproductive and respiratory syndrome virus,respiratory syndrome virus; porcine reproductive and respiratory virus; prrsv; human
39455849,disease,2,4,2,2,0,muscle atrophy; sarcopenia,,stroke; depression
39455849,go_term,1,1,2,0,1,,muscle atrophy,aging
38679310,chemical,3,4,3,1,0,nanoplastics,,lipid; phospholipid; polyethylene
38679310,organism,1,1,2,0,1,,bear,human
38679310,go_term,2,2,2,0,0,,,membranes; membrane
39463712,disease,1,2,2,1,1,cpv-2 infection,anorexia,viral gastroenteritis
39463712,organism,5,5,5,2,2,virus; canine parvovirus type 2c,canine parvovirus; cpv,dog; dogs; canine parvovirus type 2; virus; canine parvovirus type 2c
39463712,chemical,0,2,0,2,0,nucleotide; amino acid,,
39463712,gene_protein,0,1,0,1,0,polymerase,,
39463712,go_term,1,1,1,0,0,,,viral genome
38960365,gene_protein,0,0,2,0,2,,l10; l12,
38960365,chemical,1,3,1,2,0,methylglucamine; alkyl,,gadolinium
38960365,go_term,1,1,1,0,0,,,synthesis
38960365,disease,2,2,2,0,0,,,melanoma; tumors
38960365,organism,1,1,1,0,0,,,mice
39457402,disease,3,3,3,1,1,cancers,advanced cancers,liver cancer; cancers; cancer
39457402,chemical,2,2,2,0,0,,,oxymatrine; matrine
39457402,gene_protein,3,3,4,0,1,,cck,cki; esr1; egfr
39457402,go_term,2,2,2,0,0,,,cell proliferation; synapses
38709489,disease,1,2,2,2,2,chemotherapy-induced peripheral neuropathy; cipn,chronic pain; peripheral neuropathy,chemotherapy-induced peripheral neuropathy
38709489,organism,6,6,8,1,3,cd-1 mice,mice; morphine; cannabis,cannabis sativa; mouse; humans; animals; cd-1 mice; plants
38709489,chemical,9,11,10,5,4,morphine; î²-caryophyllene; î²-pinene; istradefylline; î±-humulene,caryophyllene; humulene; adenosine; pinene,î²-caryophyllene; linalool; lipopolysaccharide; terpene; geraniol; terpenes; î²-pinene; hydrocarbon; î±-humulene
38709489,gene_protein,0,3,0,3,0,adenosine a 2a receptor; a 2a r; adenosine a 2a receptors,,
38709489,go_term,0,2,2,2,2,binding; behavioral,taste; conditioned place preference,
39453046,disease,2,2,2,0,0,,,hepatic steatosis; hyperlipidemia
39453046,chemical,1,1,1,0,0,,,lipid
39453046,organism,2,2,2,0,0,,,dog; dogs
39464136,organism,1,1,1,0,0,,,mouse
39464136,go_term,0,3,0,3,0,oscillations; circadian oscillation; circadian oscillations,,
39102514,disease,3,4,2,2,0,dlbcl; diffuse large b-cell lymphoma,,diffuse large b-cell lymphoma; tumor; lymphoma
39102514,chemical,0,0,1,0,1,,lactate,
39102514,gene_protein,0,1,0,1,0,lactate-dehydrogenase,,
39102514,go_term,0,0,1,0,1,,learning,
39462257,chemical,0,0,1,0,1,,electron,
39462257,organism,0,0,1,0,1,,electron,
39462257,go_term,1,1,1,0,0,,,electron transfer
39415472,disease,0,0,1,0,1,,defect,
39415472,chemical,0,0,1,0,1,,electron,
39462406,disease,1,3,2,2,1,acute aortic dissection; aortic dissection,stress hyperglycemia,hyperglycemia
39462406,exp_methods,0,0,1,0,1,,dissection,
39462406,chemical,1,1,1,0,0,,,glucose
39462406,gene_protein,0,1,0,1,0,inflammatory cytokine,,
39462406,go_term,0,1,0,1,0,mitochondrial,,
39432592,disease,6,6,6,0,0,,,depression; major depressive disorder; depressive disorders; major depression; heart failure; anxiety
39432592,gene_protein,0,0,1,0,1,,mdd,
PPR931421,gene_protein,0,0,1,0,1,,indo,
PPR931421,organism,0,0,1,0,1,,taxes,
38985423,organism,5,6,4,2,0,lettuce; plant,,plant; tomato; spinach; plants; radish
38985423,go_term,0,0,1,0,1,,uptake,
PPR721520,chemical,1,1,1,0,0,,,boric acid
PPR721520,organism,6,9,6,3,0,insect; mosquitoes; mosquito,,diptera; culicidae; humans; a. aegypti; aedes aegypti; animals
PPR721520,go_term,0,0,1,0,1,,pigmentation,
39456272,gene_protein,1,2,1,1,0,amino acid transporters,,rnase
39456272,go_term,1,1,2,0,1,,cell fate determination,protein synthesis
39456918,chemical,1,3,1,2,0,morphine; glycine,,glutamate
39456918,gene_protein,3,10,3,7,0,nmdars; âµ-opioid receptor; oat; glycine transporter 1; mat; nmdar; glycine transporters,,n-methyl d-aspartate receptors; glyt-1; glun2b
39456918,disease,0,1,1,1,1,mat,chronic pain,
39456918,exp_methods,1,2,1,1,0,tail-flick,,assay
39456918,organism,3,3,5,0,2,,morphine; glycine,rats; rat; animals
38419628,chemical,1,1,2,0,1,,waters,water
38419628,organism,0,1,1,1,1,bacteria,plants,
38419628,go_term,1,1,1,0,0,,,degradation
39464446,chemical,6,6,5,1,0,cyclo-peroxide,,nitrates; ketones; peroxide; cyclo-peroxide; peroxides; ester
39464446,go_term,1,1,1,0,0,,,synthesis
PPR922454,chemical,4,4,6,0,2,, pro-; malondialdehyde,cholesterol; doxorubicin; ezetimibe; lipid
PPR922454,gene_protein,9,14,9,7,2,ctni; nt-probnp; n-terminal pro-b-type natriuretic peptide; nf-îºb; tumor necrosis factor-alpha; nuclear factor-kappa b; sod,tumor necrosis factor; b-type natriuretic peptide,gpx; n-terminal pro-b-type natriuretic peptide; tnf-î±; il-1î²; cardiac troponin i; glutathione peroxidase; tumor necrosis factor-alpha; interleukin-1 beta; superoxide dismutase
PPR922454,go_term,1,1,1,0,0,,,gene expression
PPR922454,disease,1,1,1,0,0,,,pediatric cancers
PPR922454,exp_methods,0,0,1,0,1,,mda,
PPR922454,organism,3,4,3,1,0,animal,,rats; wistar rats; human
39462106,disease,2,2,2,0,0,,,small cell lung cancer; colorectal cancer
39462106,go_term,0,0,1,0,1,,responses to chemical,
39457471,exp_methods,1,1,1,0,0,,,rna-seq
39457471,chemical,0,2,0,2,0,carbohydrate; cytokinin,,
39457471,organism,1,2,1,1,0,plant,,peanut
39457471,go_term,8,9,9,5,5,cell elongation; biosynthesis; starch; cell wall; organization,cell wall organization or biogenesis; cell wall modification; carbohydrate metabolic process; starch biosynthesis; transport,signal transduction; biosynthesis; starch; amyloplast; cell wall; organization; acidification; auxin homeostasis
39457452,disease,0,0,1,0,1,,rare disorders,
12908929,chemical,0,0,1,0,1,,collagen,
12908929,gene_protein,2,3,2,1,0,collagen type i,,ed1; connective tissue growth factor
12908929,go_term,1,1,1,0,0,,,degradation
12908929,disease,2,3,3,1,1,fibrosis,trauma,carpal tunnel syndrome; musculoskeletal disorder
12908929,organism,3,3,3,0,0,,,rats; rat; animals
39073688,gene_protein,6,8,8,4,4,fos like 2; tgf-î²; cd206; interferon stimulated exonuclease gene 20,thp; exonuclease; fos; interferon,isg20; interferon stimulated exonuclease gene 20; fos like 2; fosl2; il-10; cd163
39073688,chemical,0,0,1,0,1,,bisulfite,
39073688,go_term,3,3,2,1,0,hypomethylation,,secretion; methylation; hypomethylation
39073688,disease,3,4,3,1,0,gbm,,glioblastoma; tumors; tumor
39073688,exp_methods,4,5,5,1,1,assays,pma,flow cytometry; elisa; xenograft; fluorescence
39073688,organism,1,1,1,0,0,,,nude mice
39461110,disease,3,3,2,1,0,dynapenic obesity,,dynapenic obesity; obesity; abdominal obesity
39461110,gene_protein,0,1,0,1,0,dao,,
39461110,organism,0,2,0,2,0,women; men,,
39461110,go_term,0,0,1,0,1,,behavior,
38922834,disease,1,2,1,2,1,myotonic dystrophy type 2; neurogenerative,myotonic dystrophy,myotonic dystrophy type 2
38922834,chemical,1,1,1,1,1,triglyceride,capric triglyceride,triglyceride
38922834,gene_protein,2,2,2,1,1,nucleic acid-binding protein,cellular nucleic acid-binding protein,nucleic acid-binding protein; cnbp
38922834,go_term,0,0,1,0,1,,mismatch repair,
39465389,chemical,6,6,6,0,0,,,aldehydes; salt; alcohols; zinc; acetaldehyde; ethanol
39465389,gene_protein,2,2,3,0,1,,groes,adh; alcohol dehydrogenase
39465389,go_term,2,2,2,1,1,fermentation,ethanol fermentation,response to stress; fermentation
39465389,exp_methods,0,0,1,0,1,,environmental stress,
39465389,organism,2,3,2,2,1,brassica napus l; rapeseed,brassica napus,brassica napus l; oilseed rape
39466550,go_term,0,0,1,0,1,,behaviors,
39455495,disease,0,0,1,0,1,,hypotension,
39455495,exp_methods,0,0,1,0,1,,sedation,
39455495,chemical,1,1,1,0,0,,,propofol
38414527,disease,6,6,6,1,1,breast cancer,lung metastasis,breast cancer; tumors; triple-negative breast cancer; tumor; cancer; cancers
38414527,exp_methods,1,1,1,1,1,fluorescence,fluorescence imaging,fluorescence
38414527,chemical,4,4,4,0,0,,,betulinic acid; tretinoin; folic acid; celastrol
38414527,organism,1,1,1,0,0,,,mice
39461904,gene_protein,0,0,1,0,1,,zpc,
39461904,chemical,3,3,3,0,0,,,methylene blue; water; iron
39461904,go_term,1,1,3,0,2,,sips; regeneration,degradation
39462065,disease,0,0,1,0,1,,erosion,
39462065,chemical,4,5,4,1,0,phosphorous,,carbon; nitrogen; water; potassium
PPR720224,gene_protein,1,2,1,1,0,photoreceptor,,adenylate cyclase
PPR720224,chemical,2,4,1,4,1,chromophore; flavin; amino acids; adenine dinucleotide,flavin adenine dinucleotide,flavin; adenine dinucleotide
PPR720224,go_term,1,2,1,1,0,binding,,signal transduction
PPR720224,exp_methods,1,1,1,0,0,,,x-ray
PPR720224,organism,1,1,2,0,1,,electron,oscillatoria acuminata
39465234,disease,3,4,3,1,0,ad,,alzheimer's disease; mild cognitive impairment; cognitive impairments
39465234,gene_protein,3,5,4,3,2,cytokine; cytokines; tumor necrosis factor-î±,tumor necrosis factor; interleukin-6,tnf-î±; il-6; tumor necrosis factor-î±
39465234,go_term,2,2,4,0,2,,memory; learning,aging; cognition
39466676,disease,2,2,2,0,0,,,stroke; hemiparesis
39466676,go_term,1,1,1,0,0,,,reflex
39465807,disease,3,3,5,0,2,,carbon dioxide narcosis; postoperative complications,pulmonary hypertension; lung disease; respiratory depression
39465807,exp_methods,0,0,1,0,1,,cesarean section,
39465807,chemical,2,3,2,1,0,carbon dioxide,,sufentanil; naloxone
39465807,go_term,0,0,1,0,1,,gestation,
39464554,disease,9,9,10,0,1,,trauma,depression; post-traumatic stress disorder; psychiatric disorders; autism; eating disorder; obsessive-compulsive disorder; social anxiety disorder; psychiatric disorder; anxiety
39464554,chemical,0,1,0,1,0,alcohol,,
39456850,disease,3,3,3,0,0,,,colorectal carcinoma; metastatic colorectal cancer; tumor
39456850,chemical,0,0,1,0,1,,formalin,
39456850,gene_protein,13,13,14,0,1,,crc,raf1; jak1; fgfr2; map2k1; braf; pik3ca; ctnnb1; mtor; kras; erbb3; smo; erbb2; myc
39466727,disease,1,1,1,0,0,,,infectious diseases
39369354,chemical,1,1,1,0,0,,,melatonin
39369354,gene_protein,2,2,5,0,3,,chrm3; trpv4; trpm8,hsp70; hspa8
39369354,go_term,2,2,2,1,1,behavioral,behavior,sleep; behavioral
39369354,disease,0,0,1,0,1,,hyperphagia,
39369354,organism,3,4,3,1,0,nature,,redheaded bunting; emberiza bruniceps; birds
39457014,disease,3,4,3,1,0,-cell exhaustion,,tumor; cancer; hepatocellular carcinoma
39457014,gene_protein,5,5,4,1,0,ran,,prdx1; ran; stmn1; eno1; ranbp1
39457437,disease,7,7,6,1,0,metabolic liver diseases,,liver diseases; viral infection; metabolic disorders; hepatitis; hepatocellular carcinoma; metabolic liver diseases; liver disease
39457437,go_term,1,1,1,0,0,,,metabolism
PPR931274,disease,1,2,1,1,0,sarcopenia,,malnutrition
PPR931274,go_term,1,1,1,0,0,,,segmentation
39453548,exp_methods,3,3,2,1,0,assays,,biopsies; assays; assay
39453548,organism,2,2,2,0,0,,,humans; human
39453548,go_term,1,1,1,0,0,,,metabolism
39464491,disease,6,10,5,6,1,immunosuppression; hcv infection; central nervous system; ) infection; virus; cns,immunodeficiency,hcv infection; meningitis; co-infection; cryptococcal meningitis; infection; ) infection
39464491,exp_methods,1,1,1,0,0,,,biopsy
39464491,organism,7,7,7,1,1,human immunodeficiency virus,human,hcv; hiv; human immunodeficiency virus; hepatitis c; man; cryptococcus gattii; cryptococcus
39183403,disease,5,5,8,2,5,breast cancer; solid cancers,target lesion; cancer; myelosuppression; lung metastases; cancers,breast cancer; solid cancers; triple-negative breast cancer; metastatic breast cancer; tumor
39183403,chemical,0,0,1,0,1,,thymosin alpha-1,
39183403,gene_protein,3,4,3,1,0,thymosin alpha-1,,pd-1; gm-csf; granulocyte-macrophage colony-stimulating factor
39455663,chemical,1,1,1,0,0,,,water
39455663,organism,0,0,1,0,1,,plants,
39467084,disease,4,5,5,1,1,pid,tubo-ovarian-abscess,pelvic inflammatory disease; tubo-ovarian abscess; peritonitis; sepsis
39467084,chemical,1,1,1,0,0,,,penicillin
39467084,organism,3,3,1,2,0,group; streptococcus,,streptococcus; group; group a streptococcus
39458914,gene_protein,3,4,3,1,0,type i collagen,,tyrosinase; matrix metalloproteinase-1; mmp-1
39458914,chemical,2,2,5,0,3,,ionic liquids; ionic liquid; collagen,melanin; water
39458914,organism,0,2,0,2,0,grape; grapeseed,,
37620747,go_term,0,1,0,1,0,binding,,
39451065,go_term,1,1,1,0,0,,,ageing
39466736,chemical,1,1,1,0,0,,,hydrogen
PPR906459,organism,0,2,0,2,0,grapevine; grapevines,,
39465540,disease,0,1,0,1,0,fracture,,
39462307,disease,1,3,1,3,1,anosmia; olfactory dysfunction; type ii diabetes,diabetes,type ii diabetes
39462307,go_term,1,1,1,0,0,,,aging
39450110,disease,2,2,3,0,1,,hypoxia,pulmonary arterial hypertension; right heart failure
39450110,gene_protein,0,2,0,2,0,hif; hypoxia inducible factor,,
39450110,organism,0,1,0,1,0,animal,,
39450110,go_term,2,2,2,0,0,,,death; pathogenesis
39458469,go_term,1,1,1,0,0,,,sleep
39463462,disease,0,1,0,1,0,-19,,
39465730,disease,1,1,1,0,0,,,cancer
39464486,chemical,3,4,3,1,0,morphine,,naloxone hydrochloride; ceftriaxone; glutamate
39464486,gene_protein,2,2,2,1,1,glial glutamate transporter-1,glial glutamate transporter,glial glutamate transporter-1; glt-1
39464486,go_term,0,0,1,0,1,,glutamate homeostasis,
39464486,disease,3,5,2,3,0,morphine withdrawal syndrome; dependence; morphine dependence,,morphine withdrawal syndrome; opiate addiction; withdrawal syndrome
39464486,organism,2,2,3,0,1,,morphine,rats; animals
39464212,disease,1,2,1,1,0,scoliosis,,hypertension
39464212,chemical,1,2,1,1,0,alcohol,,cholesterol
39460331,disease,2,2,4,0,2,,sequelae; infections,viral infection; tick-borne encephalitis
39459270,chemical,3,4,3,3,2,nitrogen; erinacenones a-l; isoindolinone alkaloids,alkaloids; nitrogen atoms,nitrogen; isoindolin-1-one; isoindolinone alkaloids
39459270,organism,2,3,1,2,0,fungus; hericium,,hericium erinaceus; hericium
39459767,go_term,0,0,1,0,1,,behavior,
38405108,disease,0,0,1,0,1,,aids,
38405108,chemical,2,2,2,1,1,ethylene terephthalate,poly(ethylene terephthalate),ethylene terephthalate; water
39464890,disease,1,2,3,1,2,immunosuppression,tumor escape; tumor immunity,tumor
39464890,gene_protein,1,4,1,3,0,antibody; antigen receptor; sting,,cgas
39466552,disease,3,3,3,0,0,,,epistaxis; pulmonary arterial hypertension; telangiectasia
39466552,gene_protein,1,2,2,2,2,activin a receptor iia; n-terminal pro b-type natriuretic peptide,hemoglobin; natriuretic peptide,n-terminal pro b-type natriuretic peptide
39465856,disease,10,10,10,5,5,primary glomerulonephritis; tubular atrophy; diabetes mellitus; renal disease; end,diabetes; sclerosis; end-stage renal disease; atrophy; hypercellularity,chronic kidney disease; hypertension; obesity; primary glomerulonephritis; interstitial fibrosis; tubular atrophy; diabetes mellitus; renal disease; glomerulonephritis; end
39465856,chemical,1,1,1,0,0,,,uric acid
39465856,gene_protein,0,0,1,0,1,,scr,
39465856,go_term,2,2,2,1,1,mesangial cell proliferation,cell proliferation,mesangial cell proliferation; glomerular filtration
39466057,disease,4,5,4,2,1,neovascular eye disorders; neovascular fundus diseases,eye disorders,age-related macular degeneration; choroidal neovascularization; neovascular eye disorders; diabetic retinopathy
39466057,chemical,3,4,3,1,0,oxygen,,dasatinib; peptide; cyclodextrin
39466057,gene_protein,0,0,2,0,2,,das; pcd,
39466057,organism,1,1,2,0,1,,cnv,mouse
39461505,disease,5,5,4,2,1,alopecia; ca,frontal fibrosing alopecia,alopecia; cicatricial alopecias; ca; cicatricial alopecia; lichen planopilaris
39461505,exp_methods,1,1,1,0,0,,,biopsies
39461505,gene_protein,5,5,5,0,0,,,jak1; tyk2; ccl5; ifnî³; th1
39461505,chemical,0,1,0,1,0,brepocitinib,,
39366434,disease,1,2,3,2,3,hip-spine syndrome; borderline dysplasia,dysplasia; femoroacetabular impingement; stenosis,borderline dysplasia
39366434,exp_methods,0,0,1,0,1,,total hip arthroplasty,
39457337,disease,2,2,3,0,1,,physical stress,depression; anxiety
39457337,go_term,0,0,2,0,2,,learning; behaviors,
39461084,exp_methods,4,4,4,0,0,,,electron microscopy; scanning electron microscopy; x-ray; fluorescence
39461084,chemical,2,2,2,0,0,,,phosphor; phosphors
39461084,go_term,0,0,1,0,1,,behavior,
PPR931175,disease,3,5,5,2,2,ebv; ms,mimicry; autoimmune responses,multiple sclerosis; viral infections; infection
PPR931175,gene_protein,0,1,0,1,0,receptor,,
PPR931175,organism,2,4,2,2,0,cytomegalovirus; ebv,,epstein-barr virus; cmv
PPR931175,go_term,2,3,2,1,0,myelin,,immune responses; pathogenesis
39461467,disease,2,2,2,0,0,,,inflammatory bowel disease; herpes zoster
39461467,chemical,1,1,1,0,0,,,corticosteroids
39461467,gene_protein,1,1,1,0,0,,,tnf
39461467,go_term,0,0,1,0,1,,uptake,
39462548,gene_protein,0,0,1,0,1,,ptc,
39462548,chemical,12,12,14,2,4,benzene; -,benzene rings; 2-oxetanone; benzene ring; electron,quinoline; quinine; tropic acid; alkaloids; cinchonine; quinidine; alkaloid; -; vinyl; phenyl; benzene; cinchonidine
39462548,organism,1,1,1,0,0,,,cinchona
39462548,go_term,1,3,1,2,0,-transfer; phase-transfer,,synthesis
38417089,disease,2,2,3,0,1,,immune tolerance,graft-versus-host disease; infections
39466473,disease,7,11,8,7,4,pad; errors of immunity; blood cancers; cvid; deficiency; diffuse large b cell lymphoma; antibody deficiencies,defects; bone marrow failure; malignancy; lymphoma,blood cancers; deficiency; cancers; diffuse large b cell lymphoma; cancer; common variable immunodeficiency; fanconi anemia
39466473,gene_protein,3,3,3,0,0,,,nbs1; brca2; atm
39466473,organism,1,1,1,0,0,,,human
39466473,go_term,1,2,1,1,0,immunity,,death
39464818,exp_methods,1,1,2,0,1,,infrared spectroscopy,differential scanning calorimetry
39464818,chemical,1,1,1,0,0,,,water
39464818,organism,3,4,5,1,2,bacteria,rice; bacillus,potato; carob; bacillus megaterium
39458302,gene_protein,0,0,1,0,1,,ufc,
39458302,chemical,3,3,3,0,0,,,phenols; polyphenol; polyphenols
39458302,organism,4,6,4,2,0,bacteria; plant,,pediococcus acidilactici; yam bean; mango; p. acidilactici
39458302,go_term,1,1,1,0,0,,,digestion
38807003,disease,2,3,2,1,0,as,,cardiovascular diseases; aortic stenosis
38807003,exp_methods,1,1,1,0,0,,,flow cytometry
38807003,chemical,1,1,1,0,0,,,phosphatidylserine
38807003,go_term,3,3,1,2,0,vesicles; extracellular,,vesicles; extracellular vesicles; extracellular
39456826,chemical,1,1,1,0,0,,,argon
39456826,gene_protein,1,1,1,0,0,,,von willebrand factor
39456826,go_term,1,1,1,0,0,,,coagulation
39456826,disease,5,6,4,4,2,acquired von willebrand syndrome type 2a; acquired; heyde syndrome; von willebrand syndrome,acquired von willebrand syndrome; gastrointestinal bleeding,angiodysplasia; aortic stenosis; acquired; von willebrand syndrome; acquired von willebrand syndrome type 2a
